ingredient,title,description
glycerin,Glycerin (Explained + Products),Glycerin doesn’t sound very glamorous but it is a real oldie but a goodie. It’s been used in cosmetics for more than &nbsp;50 years and it’s a totally natural...
dimethicone,Dimethicone (Explained + Products),Probably the&nbsp;most common silicone of all. It is a polymer (created from repeating subunits) molecule and has different molecular weight and thus different...
tocopheryl-acetate,Tocopheryl Acetate (Explained + Products),It&rsquo;s the most commonly used version of pure vitamin E in cosmetics. You can read all about the pure form here. This one is the so-called esterified...
aqua,Water (Explained + Products),"Good old water, aka H2O. The most common skincare ingredient of all. You can usually find it right in the very first spot of the ingredient list, meaning..."
butylene-glycol,Butylene Glycol (Explained + Products),"Butylene glycol, or let&rsquo;s just call it BG, is a multi-tasking colorless, syrupy liquid. It&rsquo;s a great pick for creating a nice feeling product...."
ethylhexylglycerin,Ethylhexylglycerin (Explained + Products),"If you have spotted&nbsp;ethylhexylglycerin&nbsp;on the ingredient list, most probably you will see there also the current IT-preservative,&nbsp;phenoxyethanol...."
niacinamide,Niacinamide (Explained + Products),"Niacinamide, or as us normal people call it vitamin B3,&nbsp;is a real skincare superstar that has had so many studies and has so many skin benefits that we..."
hyaluronic-acid,Hyaluronic Acid (Explained + Products),"Hyaluronic acid (HA) and its various forms are the current IT-moisturizers. So let&rsquo;s see, what is hyaluronic acid and even more importantly what&rsquo;s..."
allantoin,Allantoin (Explained + Products),"Super common soothing ingredient. It can be found naturally in the roots &amp; leaves of the comfrey plant, but more often than not what&#39;s in the..."
panthenol,Panthenol (Explained + Products),"An easy-to-formulate, commonly used, nice to have ingredient that&rsquo;s also called pro-vitamin B5. As you might guess from the &ldquo;pro&rdquo; part,..."
ascorbic-acid,Ascorbic Acid (Explained + Products),"If Vit C was a person it would be someone like Beyonc&eacute;, Jennifer Lopez or Mariah Carey. Serious performance, A-list superstar but at the same time shows..."
zinc-oxide,Zinc Oxide (Explained + Products),"When it comes to sunscreen agents, Zinc Oxide is&nbsp;pretty much in a&nbsp;league of its own. It&#39;s a physical (or inorganic) sunscreen&nbsp;that has a lot..."
titanium-dioxide,Titanium Dioxide (Explained + Products),Titanium Dioxide is one of the two members of the elite sunscreen group called physical sunscreens (or inorganic sunscreens if you&rsquo;re a science geek and...
retinol,Retinol (Explained + Products),"If you like to read about skincare (and if you are here, it seems that you do :)), we are sure that you have already read a lot about retinol. It is the..."
salicylic-acid,Salicylic Acid (Explained + Products),"If you have ever struggled with let&rsquo;s just call it &ldquo;problem skin&rdquo; (you know, acne, blackheads, whiteheads, large pores) then most probably you..."
lactic-acid,Lactic Acid (Explained + Products),Lactic acid is the second most well-known and most well researched among the AHAs. The no. 1 is glycolic acid. If you&#39;re new to AHAs we strongly suggest...
glycolic-acid,Glycolic Acid (Explained + Products),Unless you have avoided every bit of skin care info out there so far (in this case special welcome to you! :)) you must have heard of glycolic acid. Or at least...
citric-acid,Citric Acid (Explained + Products),"Citric acid comes from citrus fruits and is an AHA. If these magic three letters don&rsquo;t tell you anything, click here and read our detailed description on..."
ceramide-np,Ceramide NP (Explained + Products),One of the many types of ceramides that can be found naturally in the upper layer of the skin. Ceramides make up&nbsp;about 50% of the goopy stuff that&#39;s...
ceramide-ap,Ceramide AP (Explained + Products),A type&nbsp;of ceramide&nbsp;that can be found naturally in the upper layer of the skin. Ceramides make up 50% of the goopy stuff that&#39;s between our skin...
cetearyl-alcohol,Cetearyl Alcohol (Explained + Products),An extremely common multitasker ingredient that gives your skin a nice soft feel (emollient) and gives body to creams and lotions. It also helps to stabilize...
stearic-acid,Stearic Acid (Explained + Products),"A common multi-tasker fatty acid. It makes your skin feel nice and smooth (emollient), gives body to cream type products and helps to stabilize water and..."
urea,Urea (Explained + Products),"Yes, it&#39;s the thing that can be found naturally in pee. And in the skin. It is an awesome natural moisturizing factor, aka NMF.&nbsp;&nbsp;NMFs are..."
