Input,Corrected,Matched Name,Description,Rating,Score
xyzrandomchemical,xyzrandomchemical,,,,55.55555555555556
"INGREDIENTS: Aqua, Cyclopentasiloxane, Glycerine, Caprylic/-",ingredients aqua cyclopentasiloxane glycerine caprylic,,,,51.85185185185186
"Capric Triglyceride, Dimethicone, Isohexadecane, Cetyl Alcohol,",capric triglyceride dimethicone isohexadecane cetyl alcohol,,,,52.08333333333333
"Glyceryl Stearal (and) PEG-100 Stearate, Butyrospermum",glyceryl stearal and peg100 stearate butyrospermum,,,,56.41025641025641
"ter, Xylitylglucoside [and] Anhydroxylitol (and)",ter xylitylglucoside and anhydroxylitol and,,,,57.446808510638306
"ide, Glycerin (and) Aqua [and] Butylene Glycol",ide glycerin and aqua and butylene glycol,,,,50.0
a nd) Polysorbate 20 (and) Palmitoyl,a nd polysorbate 20 and palmitoyl,,,,64.40677966101696
") Palmitoyl Tetrapeptide-7, Fragaria Ananassa",palmitoyl tetrapeptide7 fragaria ananassa,,,,65.67164179104478
"rou it Extract, Sodium Hyaluronate, Rubus Chamae-",rou it extract sodium hyaluronate rubus chamae,,,,58.666666666666664
"morus ) Seed Oil, Panthenol, Cetearyl Alcohol, Poly-",morus  seed oil panthenol cetearyl alcohol poly,,,,50.74626865671642
"xane, Polysorbate 80, Ammonium Acryloyl-",xane polysorbate 80 ammonium acryloyl,,,,56.790123456790134
"Wlantoin, Disodium EDTA, Tocopheryl Acetate,",wlantoin disodium edta tocopheryl acetate,,,,55.88235294117647
"e, Phenoxyethanol (and) Ethythexylglycerin.",e phenoxyethanol and ethythexylglycerin,,,,60.0
noredients agua,noredients agua,,,,66.66666666666667
"caprylic/
| pride","caprylic/
| pride",,,,65.0
rate (and! peg 109 stearate,rate (and! peg 109 stearate,,,,52.0
"\wwiitvlgt hicowde (and] anhydroxylitol 
ing ide","\wwiitvlgt hicowde (and] anhydroxylitol 
ing ide",,,,46.15384615384615
"ciye erin  aqua  butylene glycol
nel ‘land’ poiysarbate 20 tand] palmitoyl
bari) parnioyt fetrapeptide7","ciye erin  aqua  butylene glycol
nel ‘land’ poiysarbate 20 tand] palmitoyl
bari) parnioyt fetrapeptide7",,,,39.784946236559136
"fragaria ananassa
tier it ext) act","fragaria ananassa
tier it ext) act",,,,69.84126984126983
"rubus cnamae
gerry] gord oil","rubus cnamae
gerry] gord oil",,,,52.83018867924528
"cetearyl aicons. pasy
—_ a lysorbate 80","cetearyl aicons. pasy
—_ a lysorbate 80",,,,55.73770491803278
ammon talis.,ammon talis.,,,,55.172413793103445
xyzrandomchemical,xyzrandomchemical,,,,52.94117647058824
"INGREDIENTS: Aqua, Cyclopentasiloxane, Glycerine, Caprylic/-","ingredients: aqua, cyclopentasiloxane, glycerine, caprylic/-",,,,49.122807017543856
"Capric Triglyceride, Dimethicone, Isohexadecane, Cetyl Alcohol,","capric triglyceride, dimethicone, isohexadecane, cetyl alcohol,",,,,50.0
"Glyceryl Stearal (and) PEG-100 Stearate, Butyrospermum","glyceryl stearal and peg-100 stearate, butyrospermum",,,,55.696202531645575
"ter, Xylitylglucoside [and] Anhydroxylitol (and)","ter, xylitylglucoside and anhydroxylitol and",,,,56.84210526315789
"ide, Glycerin (and) Aqua [and] Butylene Glycol","ide, glycerin and aqua and butylene glycol",,,,49.31506849315068
a nd) Polysorbate 20 (and) Palmitoyl,a nd polysorbate 20 and palmitoyl,,,,64.40677966101696
") Palmitoyl Tetrapeptide-7, Fragaria Ananassa"," palmitoyl tetrapeptide-7, fragaria ananassa",,,,65.67164179104478
"rou it Extract, Sodium Hyaluronate, Rubus Chamae-","rou it extract, sodium hyaluronate, rubus chamae-",,,,56.41025641025641
"morus ) Seed Oil, Panthenol, Cetearyl Alcohol, Poly-","morus  seed oil, panthenol, cetearyl alcohol, poly-",,,,48.275862068965516
"xane, Polysorbate 80, Ammonium Acryloyl-","xane, polysorbate 80, ammonium acryloyl-",,,,54.761904761904766
"Wlantoin, Disodium EDTA, Tocopheryl Acetate,","wlantoin, disodium edta, tocopheryl acetate,",,,,53.52112676056338
"e, Phenoxyethanol (and) Ethythexylglycerin.","e, phenoxyethanol and ethythexylglycerin.",,,,58.06451612903225
"INGREDIENTS: Aqua, Cyclopentasiloxane, Glycerine, Caprylic/-","ingredients: aqua, cyclopentasiloxane, glycerine, caprylic/-",,,,49.122807017543856
"Capric Triglyceride, Dimethicone, Isohexadecane, Cetyl Alcohol,","capric triglyceride, dimethicone, isohexadecane, cetyl alcohol,",,,,50.0
"Glyceryl Stearal (and) PEG-100 Stearate, Butyrospermum","glyceryl stearal and peg-100 stearate, butyrospermum",,,,55.696202531645575
"ter, Xylitylglucoside [and] Anhydroxylitol (and)","ter, xylitylglucoside and anhydroxylitol and",,,,56.84210526315789
"ide, Glycerin (and) Aqua [and] Butylene Glycol","ide, glycerin and aqua and butylene glycol",,,,49.31506849315068
